#types,time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string],string,string
1526756261.866500,C9YvmJ3zxtuqxWxLW5,192.168.2.5,38792,200.168.87.203,59353,tcp,-,2.998333,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756268.874876,CGsZqZ3UiQexLzPRVb,192.168.2.5,38792,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756272.877722,C0LkBW2VEa292Nvet8,192.168.2.5,38793,200.168.87.203,59353,tcp,-,2.997182,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756279.884959,CMDLrn2cVhrqvW8gKa,192.168.2.5,38793,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756283.888751,C2UM8f4knuL5Vnvp3h,192.168.2.5,38794,200.168.87.203,59353,tcp,-,2.996286,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756290.895039,CqARlF2BrZceWDkuq3,192.168.2.5,38794,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756294.899769,CxD6FF457MH87WA2Ce,192.168.2.5,38795,200.168.87.203,59353,tcp,-,2.995263,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756301.905126,CXm8KI3aKQABqZDcI4,192.168.2.5,38795,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756305.905907,CCvn4P1Z1MEiqTAP6,192.168.2.5,38796,200.168.87.203,59353,tcp,-,2.999262,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756312.915181,CXWZMM2K5lRQDNO2Dd,192.168.2.5,38796,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756316.916918,C7NAoZ1GBUXpxV0sX,192.168.2.5,38797,200.168.87.203,59353,tcp,-,2.998315,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756323.925214,C8zmT04Y5NIOLxp0y,192.168.2.5,38797,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756327.925861,Ch70sn1L7zuOI4Qnc,192.168.2.5,38798,200.168.87.203,59353,tcp,-,2.999395,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756277.958574,CuOSYz3QNAKPuLEOXg,192.168.2.5,123,78.108.102.237,123,udp,-,0.012703,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-,
1526756242.957990,Cr32XW1idd6BFFTCq,192.168.2.5,123,37.157.198.150,123,udp,-,35.017664,288,288,SF,-,-,0,Dd,6,456,6,456,(empty),Benign,-,
1526756239.958006,CKgbVy3cictQOsYd35,192.168.2.5,123,31.31.74.35,123,udp,-,38.017650,288,288,SF,-,-,0,Dd,6,456,6,456,(empty),Benign,-,
1526756334.935230,CPcPPb4K5kp6Z2gSI9,192.168.2.5,38798,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756338.936997,CybDP024wi5Iq5Jhyd,192.168.2.5,38799,200.168.87.203,59353,tcp,-,2.998379,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756345.945417,CNeCss2YsOS5604WD,192.168.2.5,38799,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756349.947973,CIdU381sRHVZm4bGtf,192.168.2.5,38800,200.168.87.203,59353,tcp,-,2.997387,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756356.955458,C697miBqFCtDZyTG1,192.168.2.5,38800,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756360.959133,C6JwHO3euZ1Qrjcrcd,192.168.2.5,38801,200.168.87.203,59353,tcp,-,2.996386,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756239.958289,CNchMr17HHBrWbVOp4,192.168.2.5,123,5.1.56.123,123,udp,-,68.014546,336,336,SF,-,-,0,Dd,7,532,7,532,(empty),Benign,-,
1526756367.965571,Cnjezx9oSNY4sstO9,192.168.2.5,38801,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756371.970272,CYqOP747oTCbjayNL,192.168.2.5,38802,200.168.87.203,59353,tcp,-,2.995237,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
1526756378.975553,CQNuTx18INgMRCYJM8,192.168.2.5,38802,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan,
